Date,Nagoya,Shanghai,Busan
1,195224,2708000,1236228
2,201715,1933000,1092042
3,237158,2640000,1401582
4,234539,2652000,1369245
5,190082,2762000,1414857
6,211530,2621000,1357472
7,219315,2896000,1441000
8,220906,2806000,1368120
9,222527,2755000,1320361
10,228829,2684000,1414283
11,225984,2625000,1370723
12,235329,2658000,1398793
13,190586,2619000,1368443.25
14,200676,2187000,1244903.75
15,235443,2729000,1492298
16,223219,2719000,1486052
17,228081,2839000,1542745.25
18,218596,2771000,1424939.5
19,228244,2843000,1454989.25
20,218433,2606000,1335398
21,224294,2909000,1440913.75
22,241133,2721000,1441592.25
23,225868,2824000,1390296.25
24,220657,2761000,1423606
25,207130,2917000,1391523.25
26,196026,2010000,1297834.25
27,226606,2875000,1561235.25
28,238091,2827000,1554039.25
29,224819,2936000,1510840.5
30,223025,2761000,1493535.5
31,237170,2979000,1517513
32,221937,2953000,1451426.75
33,223943,2904000,1414178.5
34,243260,2809000,1462028.25
35,231671,2944000,1488260.25
36,234977,2857000,1543683.75
37,217741,2997000,1517649.5
38,205855,2206000,1332821.5
39,232571,2963000,1602756
40,245976,3022000,1585976.5
41,224221,3017000,1583239.5
42,227777,3059000,1597909.25
43,237422,3062000,1592725.25
44,210859,3111000,1565860.5
45,232774,3011000,1522375.5
46,244459,3020000,1609729.25
47,224372,2923000,1585550.75
48,234215,2895000,1586689.75
49,202856,3163000,1620144.75
50,210548,2574000,1535283.5
51,226555,2943000,1694094.25
52,238265,3113000,1669119.75
53,208541,3160000,1647131
54,216717,3076000,1602057.25
55,221262,3115000,1609097.5
56,199984,3157000,1642964.25
57,225503,3094000,1611212
58,234059,3038000,1642931
59,215603,3037000,1539902
60,230911,3069000,1654787.25
61,198904,2943000,1595908.75
62,196574,2590000,1566834.75
63,238632,3005000,1645605
64,223072,3122000,1584746.25
65,208741,3087000,1632544
66,219757,3144000,1602779.5
67,222172,3273000,1701425.25
68,209555,3314000,1631243.75
69,235309,3133000,1583312.75
70,225854,3215000,1650196.25
71,234356,3220000,1635373.25
72,245555,3086000,1626321.75
73,208206,3304000,1647364.25
74,207309,2649000,1505061
75,258921,3434000,1742829.25
76,229572,3276000,1778257
77,224317,3541000,1787773.5
78,241888,3398000,1734953.5
79,224328,3444000,1769722
80,225718,3464000,1708444.25
81,239592,3373000,1677026.5
82,231621,3392000,1674569.75
83,248121,3601000,1720475.75
84,244517,3357000,1746998.5
85,208276,3397000,1697039.5
86,221468,2948000,1667339.5
87,250256,3395000,1756836
88,240927,3531000,1792577.5
89,242191,3633000,1894985
90,245772,3603000,1828096.75
91,227543,3553000,1849052.75
92,236081,3484000,1767161
93,242754,3812000,1848051
94,260873,3574000,1811071.5
95,253796,3529000,1930551.5
96,246326,3551000,1819810
97,223322,3752000,1811261.5
98,222081,2855000,1661527.25
99,262470,3805000,1886841.25
100,244610,3612000,1862296.75
101,234208,3756000,1917431.25
102,243299,3756000,1848055.5
103,247386,3855000,1894479.5
104,223874,3760000,1831308.75
105,233174,3705000,1704486.25
106,243730,3629000,1882780.5
107,233370,3552000,1824548.75
108,232555,3266000,1866983
109,210406,3606000,1804979.25
110,190689,2298000,1736678.25
111,220713,3432000,1987930
112,220462,3507000,1829258
113,184346,3617000,1746224.75
114,173675,3602000,1758291
115,197779,3903000,1765015.25
116,182649,3840000,1743285.5
117,200796,3853000,1735349.75
118,237186,4203000,1904418
119,220681,4005000,1934359.5
120,231764,3636000,1878205.75
121,203781,4035000,1850971.5
122,214766,3409000,1686830.75
123,238686,3896000,2016800.5
124,242858,3716000,1958726
125,218168,3789000,2014774
126,230747,4094000,1923367.75
127,229702,3702000,1961260.5
128,226078,4320000,1838142.5
129,209516,3835000,1798941
130,235753,4190000,1980939.5
131,236198,4062000,1810445.75
132,239345,3984000,1864930
133,224303,4351000,1966759
134,212361,3808000,1742965.75
135,236441,4105000,1875668
136,224978,3085000,1899434.25
137,209002,3404000,1963081.5
138,226380,3793000,1810288.5
139,223345,4303000,2008719.5
140,218019,4173000,1891850.25
141,216328,3868000,1559996.75
142,241893,4194000,1829358
143,223338,4110000,1789463
144,223838,4109000,1740610
